Start date,End date,Partner,Speaker / Participant / Organiser,Type of activity,"Activity name (event, publication, tutorial, news article, etc.)",Status,Location (city),Location (country),Audience size,Evidence,Notes
16/01/2025,19/01/2025,IFREMER,Tina Odaka,Workshop,1st Workshop for the Biscayan RiOMar Case Study,Delivered,Geilo,Norway,6,Agenda and minutes from the event,
13/02/2025,13/02/2025,TIB,Lauren Snyder/Markus Stocker,Webinar,Reborn article webinar,Delivered,Online,,25,,
20/02/2025,21/02/2025,GFF,Barbara Magagna,Workshop,1st I-ADOPT Modelling Workshop,Delivered,Vienna,Austria,18,Agenda and minutes from the event,18 participants
27/02/2025,27/02/2025,GFF,Erik Schultes/Barbara Magagna,Training event,FA.7.W.1 | FAIR Awareness event for FAIR2Adapt,Delivered,Online,Online,???,https://w3id.org/np/RA1EUug5ppYMnee_IyhKnXVMTubHplB-Bkcqcw0hEyWwo ,Nanopublications declaring the first delivery of the course along with nanopublications for the participation attendance.
04/03/2025,04/03/2025,UHAM,Malte von Szombathely,Workshop,1st Workshop for the City of Hambug Case Study,Delivered,Hamburg,Germany,10,Agenda and minutes from the event,
10/03/2025,11/03/2025,GFF,Barbara Magagna,Workshop,2nd I-ADOPT Modelling Workshop,Delivered,Vienna,Austria,17,Agenda and minutes from the event,17 participants
18/03/2025,20/03/2025,NERSC,Yanchun He,Workshop,1st Workshop for the Arctic Radioisotope Case Study,Delivered,Bødo,Norway,12,Agenda and minutes from the event,The case study workshop was part of the Arctic Emergency Management Conference. Responding to emerging challenges and risks
31/03/2025,31/03/2025,GFF,Erik Schultes/Andrea Tarallo,Training event,FA.8.T.1 | FAIR2Adapt FAIR Awareness session 1,Delivered,Online,Online,??,https://w3id.org/np/RA1EUug5ppYMnee_IyhKnXVMTubHplB-Bkcqcw0hEyWwo ,Nanopublications declaring the first delivery of the course along with nanopublications for the participation attendance.
08/04/2025,08/04/2025,GFF,Erik/Gerhard,Training event,FAIR Awareness: FAIR Principles ,Delivered,Online,Online,??,???,
14/04/2025,16/04/2025,GFF,Barbara Magagna,Conference,CORP Conference: Accelerating Climate Change Adaptation in Cities with FAIR2Adapt: FAIRifying Hamburg's Risk Map ,Delivered,Graz,Austria,??,Programme: https://www.corp.at/Download/CORP2025/realcorp2025programme.pdf,30th International Conference on Urban Planning and Regional Development in the Information Society (CORP): https://www.corp.at
17/04/2025,17/04/2025,GFF,Barbara/Raul,Training event,FAIR Awareness: Good FAIR practices,Delivered,Online,Online,??,???,
22/04/2025,22/04/2025,GFF,Barbara/Gerhard,Training event,FAIR Awareness: FAIR Assessment,Delivered,Online,Online,??,???,
28/04/2025,28/04/2025,SRL,Anne Fouilloux,Conference,EGU2025: FAIR2Adapt: Advancing Climate Change Adaptation Strategies through FAIR and open;data sharing and Research Infrastructures (talk),Ongoing,Vienna,Austria,??,https://doi.org/10.5194/egusphere-egu25-5215 ,
